127.0.0.1, 2014-01-12 17:33:26, GET, /, HTTP/1.1, 303, 0.000864
127.0.0.1, 2014-01-12 17:33:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.913131
127.0.0.1, 2014-01-12 17:33:27, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2014-01-12 17:33:38, GET, /admin/default/index, HTTP/1.1, 200, 0.064175
127.0.0.1, 2014-01-12 17:33:39, POST, /admin/default/index, HTTP/1.1, 303, 0.032544
127.0.0.1, 2014-01-12 17:33:39, GET, /admin/default/site, HTTP/1.1, 200, 0.026320
127.0.0.1, 2014-01-12 17:33:40, POST, /admin/default/check_version, HTTP/1.1, 200, 0.738329
127.0.0.1, 2014-01-12 17:33:49, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.101877
127.0.0.1, 2014-01-12 17:33:58, GET, /py2manager/appadmin/index, HTTP/1.1, 500, 0.821653
127.0.0.1, 2014-01-12 17:34:02, GET, /admin/default/ticket/py2manager/127.0.0.1.2014-01-12.17-33-57.c33bd2e6-c29d-4ca5-b40c-5d09c1519930, HTTP/1.1, 200, 0.034262
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.360549
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000331
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000480
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.001989
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.002308
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.003556
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.002914
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002183
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002140
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001166
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000482
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.000700
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000304
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.001010
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.001590
127.0.0.1, 2014-01-12 17:36:48, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.001597
127.0.0.1, 2014-01-12 17:36:55, GET, /py2manager/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000338
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.025156
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000898
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.000921
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.000758
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000989
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.001309
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.003439
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001753
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002970
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000205
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2014-01-12 17:38:01, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000408
127.0.0.1, 2014-01-12 17:38:02, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.000318
127.0.0.1, 2014-01-12 17:38:02, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.001250
127.0.0.1, 2014-01-12 17:38:02, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.000716
127.0.0.1, 2014-01-12 17:38:29, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.029849
127.0.0.1, 2014-01-12 17:38:29, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000286
127.0.0.1, 2014-01-12 17:38:43, POST, /py2manager/default/user/register, HTTP/1.1, 303, 0.208911
127.0.0.1, 2014-01-12 17:38:43, GET, /py2manager/default/index, HTTP/1.1, 200, 0.026080
127.0.0.1, 2014-01-12 17:38:43, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000476
127.0.0.1, 2014-01-12 17:38:49, GET, /py2manager/appadmin/index, HTTP/1.1, 303, 0.019108
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/default/index, HTTP/1.1, 200, 0.033789
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.001262
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.000682
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000765
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.002816
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000796
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000344
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.002568
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001953
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002350
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.001946
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000918
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001569
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2014-01-12 17:38:49, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000286
127.0.0.1, 2014-01-12 17:38:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2014-01-12 17:38:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2014-01-12 17:38:55, POST, /admin/default/index, HTTP/1.1, 303, 0.022506
127.0.0.1, 2014-01-12 17:38:55, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.028104
127.0.0.1, 2014-01-12 17:38:55, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2014-01-12 17:39:07, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.026054
127.0.0.1, 2014-01-12 17:39:07, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000270
127.0.0.1, 2014-01-12 17:39:17, GET, /admin/default/index, HTTP/1.1, 303, 0.003407
127.0.0.1, 2014-01-12 17:39:17, GET, /admin/default/site, HTTP/1.1, 200, 0.030018
127.0.0.1, 2014-01-12 17:39:17, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000807
127.0.0.1, 2014-01-12 17:39:17, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000553
127.0.0.1, 2014-01-12 17:39:17, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000679
127.0.0.1, 2014-01-12 17:39:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.265191
127.0.0.1, 2014-01-12 17:39:20, GET, /py2manager/default/index, HTTP/1.1, 200, 0.029629
127.0.0.1, 2014-01-12 17:39:21, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000325
127.0.0.1, 2014-01-12 17:39:23, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.021177
127.0.0.1, 2014-01-12 17:39:23, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2014-01-12 17:39:31, POST, /py2manager/default/user/login, HTTP/1.1, 303, 0.017044
127.0.0.1, 2014-01-12 17:39:31, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.021947
127.0.0.1, 2014-01-12 17:39:31, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000286
127.0.0.1, 2014-01-12 17:39:42, POST, /py2manager/default/user/login, HTTP/1.1, 303, 0.209585
127.0.0.1, 2014-01-12 17:39:42, GET, /py2manager/default/index, HTTP/1.1, 200, 0.027407
127.0.0.1, 2014-01-12 17:39:42, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000614
127.0.0.1, 2014-01-12 17:39:50, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.038743
127.0.0.1, 2014-01-12 17:39:50, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000277
127.0.0.1, 2014-01-12 17:39:54, GET, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.032314
127.0.0.1, 2014-01-12 17:39:55, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000423
127.0.0.1, 2014-01-12 17:40:24, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.229729
127.0.0.1, 2014-01-12 17:40:24, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000283
127.0.0.1, 2014-01-12 17:40:40, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.038322
127.0.0.1, 2014-01-12 17:40:40, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000307
127.0.0.1, 2014-01-12 17:40:42, GET, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.037264
127.0.0.1, 2014-01-12 17:40:42, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000274
127.0.0.1, 2014-01-12 17:41:12, POST, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.254076
127.0.0.1, 2014-01-12 17:41:12, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2014-01-12 17:53:01, GET, /py2manager/user/login, HTTP/1.1, 404, 0.059912
127.0.0.1, 2014-01-12 18:01:13, GET, /py2manager/index, HTTP/1.1, 404, 0.050792
127.0.0.1, 2014-01-12 18:01:36, GET, /py2manager/index, HTTP/1.1, 404, 0.019877
127.0.0.1, 2014-01-12 18:01:37, GET, /py2manager/index, HTTP/1.1, 404, 0.014278
127.0.0.1, 2014-01-12 18:01:47, GET, /py2manager/index, HTTP/1.1, 404, 0.021754
127.0.0.1, 2014-01-12 18:01:53, GET, /py2manager/index, HTTP/1.1, 404, 0.019242
127.0.0.1, 2014-01-12 18:02:11, GET, /, HTTP/1.1, 303, 0.000549
127.0.0.1, 2014-01-12 18:02:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.067016
127.0.0.1, 2014-01-12 18:02:11, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2014-01-12 18:02:25, GET, /admin/default/index, HTTP/1.1, 303, 0.046621
127.0.0.1, 2014-01-12 18:02:25, GET, /admin/default/site, HTTP/1.1, 200, 0.032128
127.0.0.1, 2014-01-12 18:02:29, GET, /py2manager/default/index, HTTP/1.1, 303, 0.049679
127.0.0.1, 2014-01-12 18:02:29, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.018620
127.0.0.1, 2014-01-12 18:02:29, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000261
127.0.0.1, 2014-01-12 18:02:35, POST, /py2manager/default/user/login, HTTP/1.1, 200, 0.022550
127.0.0.1, 2014-01-12 18:02:35, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2014-01-12 18:02:43, GET, /admin/default/site, HTTP/1.1, 200, 0.034485
127.0.0.1, 2014-01-12 18:02:43, GET, /admin/default/site, HTTP/1.1, 200, 0.040918
127.0.0.1, 2014-01-12 18:02:45, GET, /py2manager/default/index, HTTP/1.1, 303, 0.014969
127.0.0.1, 2014-01-12 18:02:45, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.025762
127.0.0.1, 2014-01-12 18:02:45, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2014-01-12 18:02:47, POST, /py2manager/default/user/login, HTTP/1.1, 200, 0.022546
127.0.0.1, 2014-01-12 18:02:47, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2014-01-12 18:02:51, GET, /admin/default/site, HTTP/1.1, 200, 0.032854
127.0.0.1, 2014-01-12 18:02:51, GET, /admin/default/site, HTTP/1.1, 200, 0.046294
127.0.0.1, 2014-01-12 18:02:53, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.064589
127.0.0.1, 2014-01-12 18:02:59, GET, /admin/default/site, HTTP/1.1, 200, 0.039400
127.0.0.1, 2014-01-12 18:03:02, GET, /py2manager/default/index, HTTP/1.1, 303, 0.010013
127.0.0.1, 2014-01-12 18:03:02, GET, /py2manager/default/user/login, HTTP/1.1, 200, 0.016621
127.0.0.1, 2014-01-12 18:03:02, GET, /py2manager/static/js/share.js, HTTP/1.1, 304, 0.000278
127.0.0.1, 2014-01-12 18:03:03, GET, /admin/default/site, HTTP/1.1, 200, 0.043907
